field	N	sum	min	max	mean	std dev	median	skewness	kurtosis	
links_out	4	369.0	17.0	273.0	92.25	121.26932835634904	39.5	1.9253832021374584	3.740819633100333	
bytes	4	126678.0	9583.0	95018.0	31669.5	42238.07365004549	11038.5	1.998363914014122	3.9946206692551627	
words	4	3513.0	127.0	2489.0	878.25	1093.795037167994	448.5	1.7921787857524736	3.238561176845188	
external_links	4	601.0	0.0	513.0	150.25	245.3655436282772	44.0	1.8371796027420555	3.3752543166329936	
links_in	4	2152.0	342.0	744.0	538.0	164.21936548409874	533.0	0.1824476406141963	1.5177654327517018	
redirects	4	54.0	1.0	21.0	13.5	8.660254037844387	16.0	-1.5396007178390019	2.8888888888888857	
sentences	4	150.0	8.0	95.0	37.5	39.786932528155525	23.5	1.6022173908266606	2.4544367288415394	
media	4	2.0	0.0	2.0	0.5	1.0	0.0	2.0	4.0	
pubmed references	4	196.0	5.0	168.0	49.0	79.39353458143385	11.5	1.9908324872425647	3.9704902651961866	
