1	2	25	23
2	2	26	23
3	2	27	23
4	2	31	30
5	2	32	30
6	2	47	45
7	2	64	63
8	2	65	63
9	2	74	73
10	2	91	90
11	2	92	90
12	2	93	90
13	2	116	115
14	2	117	115
15	2	118	115
16	3	189	188
17	2	197	195
18	2	199	198
19	2	230	229
20	2	231	229
21	2	232	229
22	2	240	239
23	2	252	251
24	2	254	253
25	2	249	255
26	2	250	256
27	2	281	280
28	2	282	280
29	2	283	280
30	3	285	284
31	3	286	284
32	3	288	287
33	3	290	289
34	2	293	292
35	2	294	292
36	2	293	295
37	2	294	295
38	2	293	296
39	2	294	296
40	3	315	314
41	3	386	385
42	3	386	387
43	3	389	388
44	3	389	392
45	2	756	755
46	2	770	769
47	2	771	769
48	3	775	774
49	2	778	777
50	2	779	777
51	3	791	790
52	2	795	794
53	2	796	794
54	2	797	794
55	3	799	798
56	3	799	800
57	3	828	827
58	3	829	827
59	3	834	836
60	2	850	849
61	2	851	849
62	2	871	870
63	3	946	945
64	3	946	947
65	3	946	948
66	3	946	949
67	3	951	950
68	3	951	952
69	3	951	953
70	3	951	954
71	3	983	982
72	3	983	984
73	3	983	985
74	3	987	986
75	2	1014	1013
76	3	2590	2591
77	3	2592	2591
78	2	2593	2594
79	2	2593	2595
80	2	91	2596
81	2	2586	2603
82	2	2604	2603
83	3	2626	2625
84	2	370	2636
85	2	370	2637
86	3	2639	2638
87	3	2641	2640
88	3	2647	2646
89	2	2649	2648
90	2	26	2648
91	2	27	2648
92	2	2649	2652
93	2	26	2652
94	2	27	2652
95	2	2654	2653
96	2	2655	2653
97	2	2656	2653
98	2	2657	2653
99	2	2658	2653
100	2	26	2653
101	2	27	2653
102	3	2660	2659
103	2	2649	2659
104	2	2649	2661
105	2	26	2661
106	2	2662	2661
107	2	2649	2663
108	2	26	2663
109	2	2662	2663
110	2	2665	2664
111	2	2666	2664
112	2	2669	2668
113	2	2670	2668
114	3	163	2671
115	2	2672	2671
116	2	2673	2671
117	3	2677	2676
118	3	2678	2676
119	3	2680	2679
120	3	2682	2681
121	3	2682	2683
122	3	2685	2684
123	3	2682	2684
124	3	2689	2688
125	3	2691	2690
126	3	2685	2692
127	2	2694	2693
128	2	2675	2695
129	2	2696	2695
130	3	2698	2697
131	2	2700	2699
132	2	2702	2701
133	2	2700	2703
134	2	2706	2705
135	2	2708	2707
136	2	2710	2709
137	2	2712	2711
138	2	2714	2713
139	2	2715	2713
140	3	2714	2716
141	3	2714	2717
142	3	2714	2718
143	3	2714	2719
144	3	2714	2720
145	3	2714	2721
146	3	2714	2722
147	3	2714	2723
148	2	2726	2725
149	3	2714	2727
150	3	2714	2728
151	3	2714	2729
152	3	2714	2730
153	3	2714	2731
154	3	2714	2732
155	2	2735	2734
156	2	2737	2736
157	3	2806	2807
158	3	2806	2808
159	3	2806	2809
160	3	293	2828
161	3	293	2829
162	2	2830	2829
163	2	2831	2829
164	3	293	2832
165	3	294	2832
166	3	293	2833
167	2	2830	2833
168	2	2831	2833
169	3	293	2834
170	2	2835	2834
171	3	293	2836
172	2	830	2836
173	3	293	2837
174	2	2838	2837
175	3	293	2839
176	2	2840	2839
177	2	2845	2844
178	2	288	2844
179	3	2872	2873
180	3	2872	2874
181	2	65	2907
182	2	2908	2907
183	2	2910	2909
184	2	2913	2912
185	2	2914	2912
186	2	2952	2951
187	2	2953	2951
188	3	3071	3070
189	3	3072	3070
190	3	3073	3070
191	2	3075	3074
192	3	3080	3081
193	3	3082	3081
194	3	3080	3083
195	3	3082	3083
196	3	3085	3086
197	3	3085	3087
198	3	3085	3088
199	3	3089	3090
200	3	3089	3091
201	3	3089	3092
202	3	3085	3093
203	3	3094	3095
204	3	3094	3096
205	3	3094	3097
206	3	3094	3098
207	3	3094	3099
208	3	3094	3100
209	3	775	3102
210	2	3103	3102
211	3	775	3104
212	3	775	3105
213	3	775	3106
214	3	775	3107
215	3	775	3108
216	3	775	3109
